meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1264,9955,81,22,2025-06-29T13:44:25.149000+00:00,17.796,31.706,21.436,,224,False,70.938,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",291
1264,9955,81,23,2025-06-29T13:45:36.111000+00:00,17.873,31.797,21.579,299.0,225,False,71.249,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",293
1264,9955,81,24,2025-06-29T13:46:47.324000+00:00,17.939,31.898,24.891,295.0,223,False,74.728,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2064, 2064, 2064, 2064]",291
1264,9955,81,25,2025-06-29T13:48:01.984000+00:00,35.618,31.405,21.306,297.0,230,True,88.329,"[2064, 2064, 2064, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",293
1264,9955,81,26,2025-06-29T13:49:30.375000+00:00,17.629,31.074,21.151,295.0,229,False,69.854,"[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2048, 2048]",291
1264,9955,81,27,2025-06-29T13:50:40.239000+00:00,17.599,30.871,21.05,298.0,232,False,69.52,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2048, 2048, 2049]","[2049, 2049, 2048, 2048, 2049, 2048, 2048, 2048]",293
1264,9955,81,28,2025-06-29T13:51:49.760000+00:00,17.513,30.908,21.098,295.0,230,False,69.519,"[None, 2048, 2049, 2048, 2048, 2048]","[2048, 2049, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",290
1264,9955,81,29,2025-06-29T13:52:59.325000+00:00,17.537,30.968,20.929,298.0,231,False,69.434,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2051, 2048, 2048, 2048, 2049, 2048, 2048]",293
1264,9955,81,30,2025-06-29T13:54:08.686000+00:00,17.496,30.865,20.982,,232,False,69.343,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2048, 2049, 2048, 2048, 2048, 2048]",294
1264,9955,81,31,2025-06-29T13:55:18.083000+00:00,17.455,31.023,20.87,299.0,233,False,69.348,"[None, 2048, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2048, 2049, 2049, 2048, 2048, 2048, 2048]",295
1264,9955,81,32,2025-06-29T13:56:27.403000+00:00,17.574,31.044,20.831,300.0,231,False,69.449,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2048, 2048, 2048]",292
1264,9955,81,33,2025-06-29T13:57:36.825000+00:00,17.58,31.029,20.831,301.0,233,False,69.44,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2048, 2048, 2048]",294
1264,9955,81,34,2025-06-29T13:58:46.327000+00:00,17.437,30.928,20.831,299.0,234,False,69.196,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2049, 2051, 2051, 2048, 2048, 2048, 2048, 2048]",294
1264,9955,81,35,2025-06-29T13:59:55.463000+00:00,17.536,31.012,20.895,296.0,232,False,69.443,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 0]",293
1264,9955,81,36,2025-06-29T14:01:04.992000+00:00,17.57,31.034,20.856,300.0,236,False,69.46,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",296
1264,9955,81,37,2025-06-29T14:02:14.416000+00:00,17.525,30.991,20.966,,233,False,69.482,"[None, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2051]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",295
